year,conference,title,link,topic_query,matched_terms,citations,openalex_id
2026,AAAI,Adaptive Frequency Pathways for Spatiotemporal Forecasting,https://doi.org/10.1609/aaai.v40i18.38595,spatiotemporal forecasting,spatial;urban,0,https://openalex.org/W7138110542
2026,AAAI,Any-Optical-Model: A Universal Foundation Model for Optical Remote Sensing,https://doi.org/10.1609/aaai.v40i8.37583,remote sensing foundation model,spatial;remote sensing;satellite,0,https://openalex.org/W7138453519
2026,AAAI,DINOv3-Powered Multi-Task Foundation Model for Quantitative Remote Sensing Estimation (Student Abstract),https://doi.org/10.1609/aaai.v40i48.42304,remote sensing foundation model,remote sensing;earth observation;satellite,0,https://openalex.org/W7138906118
2026,AAAI,MaRS: A Multi-modality Very-high-resolution Remote Sensing Foundation Model with Cross-Granularity Meta-Modality Learning,https://doi.org/10.1609/aaai.v40i14.38153,remote sensing foundation model,remote sensing;sar;urban,0,https://openalex.org/W7138459909
2026,AAAI,S^2-KD: Semantic-Spectral Knowledge Distillation Spatiotemporal Forecasting,https://doi.org/10.1609/aaai.v40i2.37091,spatiotemporal forecasting,weather,3,https://openalex.org/W7137844312
2025,AAAI,Drawing Informative Gradients from Sources: A One-stage Transfer Learning Framework for Cross-city Spatiotemporal Forecasting,https://doi.org/10.1609/aaai.v39i1.32102,spatiotemporal forecasting,urban,5,https://openalex.org/W4409346837
2025,AAAI,"FoMo: Multi-Modal, Multi-Scale and Multi-Task Remote Sensing Foundation Models for Forest Monitoring",https://doi.org/10.1609/aaai.v39i27.35002,remote sensing foundation model,spatial;geographic;remote sensing;satellite;multispectral;synthetic aperture radar;lidar;land use;climate,8,https://openalex.org/W4409348648
2025,AAAI,Locate Anything on Earth: Advancing Open-Vocabulary Object Detection for Remote Sensing Community,https://doi.org/10.1609/aaai.v39i6.32672,remote sensing foundation model,remote sensing,17,https://openalex.org/W4409366960
2025,AAAI,"SatCLIP: Global, General-Purpose Location Embeddings with Satellite Imagery",https://doi.org/10.1609/aaai.v39i4.32457,satellite imagery,geospatial;spatial;geographic;satellite,34,https://openalex.org/W4409368417
2025,AAAI,Spatiotemporal-aware Trend-Seasonality Decomposition Network for Traffic Flow Forecasting,https://doi.org/10.1609/aaai.v39i11.33247,spatiotemporal forecasting,spatial,21,https://openalex.org/W4409365780
2025,AAAI,ST-FiT: Inductive Spatial-Temporal Forecasting with Limited Training Data,https://doi.org/10.1609/aaai.v39i11.33310,spatial temporal graph neural network,spatial;geographic,3,https://openalex.org/W4409365561
2024,AAAI,Disentanglement-Guided Spatial-Temporal Graph Neural Network for Metro Flow Forecasting (Student Abstract),https://doi.org/10.1609/aaai.v38i21.30452,spatial temporal graph neural network,spatial,1,https://openalex.org/W4393157538
2024,AAAI,Domain-Controlled Prompt Learning,https://doi.org/10.1609/aaai.v38i2.27853,remote sensing foundation model,remote sensing,16,https://openalex.org/W4393158281
2024,AAAI,Statistically Principled Deep Learning for SAR Image Segmentation,https://doi.org/10.1609/aaai.v38i21.30549,SAR image deep learning,sar;synthetic aperture radar,1,https://openalex.org/W4393160631
2023,AAAI,PARCS: A Deployment-Oriented AI System for Robust Parcel-Level Cropland Segmentation of Satellite Images,https://doi.org/10.1609/aaai.v37i13.26873,satellite image segmentation,remote sensing;satellite;crop,6,https://openalex.org/W4382318515
2023,AAAI,PDFormer: Propagation Delay-Aware Dynamic Long-Range Transformer for Traffic Flow Prediction,https://doi.org/10.1609/aaai.v37i4.25556,spatial temporal graph neural network,spatial;urban,482,https://openalex.org/W4382239616
2023,AAAI,Spatio-Temporal Meta-Graph Learning for Traffic Forecasting,https://doi.org/10.1609/aaai.v37i7.25976,spatial temporal graph neural network,,267,https://openalex.org/W4382449675
2022,AAAI,A GNN-RNN Approach for Harnessing Geospatial and Temporal Information: Application to Crop Yield Prediction,https://doi.org/10.1609/aaai.v36i11.21444,geospatial machine learning,geospatial;spatial;geographic;climate;weather;crop,105,https://openalex.org/W3213239025
2022,AAAI,Conditional Local Convolution for Spatio-Temporal Meteorological Forecasting,https://doi.org/10.1609/aaai.v36i7.20711,spatial temporal graph neural network,spatial;geography;weather,86,https://openalex.org/W3217152393
2022,AAAI,"Know, Know Where, KnowWhereGraph: A densely connected, cross‐domain knowledge graph and geo‐enrichment service stack for applications in environmental intelligence",https://doi.org/10.1002/aaai.12043,geospatial artificial intelligence,geospatial;spatial,58,https://openalex.org/W4229377031
2022,AAAI,Knowledge graphs to support real‐time flood impact evaluation,https://doi.org/10.1002/aaai.12035,geospatial artificial intelligence,geospatial;spatial;urban;building footprint;flood,22,https://openalex.org/W4229368115
2021,AAAI,CloudLSTM: A Recurrent Neural Model for Spatiotemporal Point-cloud Stream Forecasting,https://doi.org/10.1609/aaai.v35i12.17296,spatiotemporal forecasting,geospatial;spatial,31,https://openalex.org/W2965960151
2021,AAAI,Community-Aware Multi-Task Transportation Demand Prediction,https://doi.org/10.1609/aaai.v35i1.16107,spatial temporal graph neural network,spatial;urban,31,https://openalex.org/W3177146402
2021,AAAI,Global Climate Model Tracking Using Geospatial Neighborhoods,https://doi.org/10.1609/aaai.v26i1.8178,geospatial machine learning,geospatial;spatial;climate,28,https://openalex.org/W1805172955
2021,AAAI,Hierarchical Graph Convolution Network for Traffic Forecasting,https://doi.org/10.1609/aaai.v35i1.16088,spatial temporal graph neural network,spatial,195,https://openalex.org/W3175016653
2021,AAAI,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,https://doi.org/10.1609/aaai.v35i12.17325,weather forecasting deep learning,,5863,https://openalex.org/W3177318507
2021,AAAI,Joint Semantic-geometric Learning for Polygonal Building Segmentation,https://doi.org/10.1609/aaai.v35i3.16291,building footprint extraction,remote sensing;satellite,35,https://openalex.org/W3176363936
